no,SKU,Nama,kategori,satuan,merek,stok keluar,stok masuk,stok tersedia,stok minimal,barcode,lokasi penyimpanan,kadaluarsa,warna,ukuran,p,l,t,keterangan,,
106,SK0106,SEN614W-C130 TYPE C,Alarm HQ Device Set,PCS,XIAOMI,147,0,479,1,BR0106,,01 AGU 2022,,,15,10,2,,,
107,SK0107,SEN614W-C130C MICRO0,Alarm HQ Device Set,PCS,XIAOMI,14,0,52,1,BR0107,,01 AGU 2022,,,15,10,2,,,
108,SK0108,OPP700W-530,Alarm HQ Wearable Se,PCS,XIAOMI,186,0,586,1,BR0108,,01 AGU 2022,,,15,10,8,,,
109,SK0109,SEN632W-C120-FPC,Alarm HQ Wearable Se,PCS,XIAOMI,14,0,622,1,BR0109,,01 AGU 2022,,,15,10,2,,,
110,SK0110,OPP9414W-552,Alarm HQ Eco Set,PCS,XIAOMI,9,0,1053,1,BR0110,,01 AGU 2022,,,15,10,8,,,
111,SK0111,SEN601W-C180,Alarm HQ Eco Set,PCS,XIAOMI,11,0,1071,1,BR0111,,01 AGU 2022,,,15,10,2,,,
112,SK0112,SEN620W-C180,Alarm HQ Eco Set,PCS,XIAOMI,11,0,2434,1,BR0112,,01 AGU 2022,,,15,10,2,,,
113,SK0113,3M(OPP150)T,ADHESIVE TYPE ALARM,PCS,XIAOMI,0,0,3146,1,BR0113,,01 AGU 2022,,,15,10,2,,,
114,SK0114,3M(OPP703)B,ADHESIVE TYPE ALARM,PCS,XIAOMI,0,0,3146,1,BR0114,,01 AGU 2022,,,15,10,2,,,
115,SK0115,3M(SEN601)T,ADHESIVE TYPE ALARM,PCS,XIAOMI,0,0,1456,1,BR0115,,01 AGU 2022,,,15,10,2,,,
116,SK0116,3M(SEN620)T,ADHESIVE TYPE ALARM,PCS,XIAOMI,0,0,2912,1,BR0116,,01 AGU 2022,,,15,10,2,,,
117,SK0117,POLO ORANGE TANPA UKURAN,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0117,,01 AGU 2022,,,40,30,2,,,
118,SK0118,POLO ORANGE S,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0118,,01 AGU 2022,,,40,30,2,,,
119,SK0119,POLO ORANGE M,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0119,,01 AGU 2022,,,40,30,2,,,
120,SK0120,POLO ORANGE L,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0120,,01 AGU 2022,,,40,30,2,,,
121,SK0121,POLO ORANGE XL,UNIFORM,PCS,XIAOMI,13,0,0,1,BR0121,,01 AGU 2022,,,40,30,2,,,
122,SK0122,POLO ORANGE XXL,UNIFORM,PCS,XIAOMI,34,0,0,1,BR0122,,01 AGU 2022,,,40,30,2,,,
123,SK0123,POLO ORANGE XXXL,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0123,,01 AGU 2022,,,40,30,2,,,
124,SK0124,POLO NAVY BORDIR MD TANPA UKURAN,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0124,,01 AGU 2022,,,40,30,2,,,
125,SK0125,POLO NAVY BORDIR MD S,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0125,,01 AGU 2022,,,40,30,2,,,
126,SK0126,POLO NAVY BORDIR MD M,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0126,,01 AGU 2022,,,40,30,2,,,
127,SK0127,POLO NAVY BORDIR MD L,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0127,,01 AGU 2022,,,40,30,2,,,
128,SK0128,POLO NAVY BORDIR MD XL,UNIFORM,PCS,XIAOMI,3,0,0,1,BR0128,,01 AGU 2022,,,40,30,2,,,
129,SK0129,POLO NAVY BORDIR MD XXL,UNIFORM,PCS,XIAOMI,41,0,0,1,BR0129,,01 AGU 2022,,,40,30,2,,,
130,SK0130,POLO NAVY BORDIR MD XXL,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0130,,01 AGU 2022,,,40,30,2,,,
131,SK0131,POLO NAVY NO BODIR TANPA UKURAN,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0131,,01 AGU 2022,,,40,30,2,,,
132,SK0132,POLO NAVY NO BODIR S,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0132,,01 AGU 2022,,,40,30,2,,,
133,SK0133,POLO NAVY NO BODIR M,UNIFORM,PCS,XIAOMI,4,0,0,1,BR0133,,01 AGU 2022,,,40,30,2,,,
134,SK0134,POLO NAVY NO BODIR L,UNIFORM,PCS,XIAOMI,3,0,0,1,BR0134,,01 AGU 2022,,,40,30,2,,,
135,SK0135,POLO NAVY NO BODIR XL,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0135,,01 AGU 2022,,,40,30,2,,,
136,SK0136,POLO NAVY NO BODIR XXL,UNIFORM,PCS,XIAOMI,8,0,0,1,BR0136,,01 AGU 2022,,,40,30,2,,,
137,SK0137,POLO NAVY NO BODIR XXXL,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0137,,01 AGU 2022,,,40,30,2,,,
138,SK0138,TSHIRT Mi 11 TANPA UKURAN,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0138,,01 AGU 2022,,,40,30,2,,,
139,SK0139,TSHIRT Mi 11 S,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0139,,01 AGU 2022,,,40,30,2,,,
140,SK0140,TSHIRT Mi 11 M,UNIFORM,PCS,XIAOMI,34,0,0,1,BR0140,,01 AGU 2022,,,40,30,2,,,
141,SK0141,TSHIRT Mi 11 L,UNIFORM,PCS,XIAOMI,61,0,0,1,BR0141,,01 AGU 2022,,,40,30,2,,,
142,SK0142,TSHIRT Mi 11 XL,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0142,,01 AGU 2022,,,40,30,2,,,
143,SK0143,TSHIRT Mi 11 XXL,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0143,,01 AGU 2022,,,40,30,2,,,
144,SK0144,TSHIRT Mi 11 XXL,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0144,,01 AGU 2022,,,40,30,2,,,
145,SK0145,TSHIRT Mi 11 Series TANPA UKURAN,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0145,,01 AGU 2022,,,40,30,2,,,
146,SK0146,TSHIRT Mi 11 Series S,UNIFORM,PCS,XIAOMI,3,0,59,1,BR0146,,01 AGU 2022,,,40,30,2,,,
147,SK0147,TSHIRT Mi 11 Series M,UNIFORM,PCS,XIAOMI,3,0,21,1,BR0147,,01 AGU 2022,,,40,30,2,,,
148,SK0148,TSHIRT Mi 11 Series L,UNIFORM,PCS,XIAOMI,1,0,0,1,BR0148,,01 AGU 2022,,,40,30,2,,,
149,SK0149,TSHIRT Mi 11 Series XL,UNIFORM,PCS,XIAOMI,2,0,14,1,BR0149,,01 AGU 2022,,,40,30,2,,,
150,SK0150,TSHIRT Mi 11 Series XXL,UNIFORM,PCS,XIAOMI,0,0,18,1,BR0150,,01 AGU 2022,,,40,30,2,,,
151,SK0151,TSHIRT Mi 11 Series XXXL,UNIFORM,PCS,XIAOMI,0,0,1,1,BR0151,,01 AGU 2022,,,40,30,2,,,
152,SK0152,Tshirt Mi Celebrations TANPA UKURAN,UNIFORM,PCS,XIAOMI,542,0,0,1,BR0152,,01 AGU 2022,,,40,30,2,,,
153,SK0153,Tshirt Mi Celebrations S,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0153,,01 AGU 2022,,,40,30,2,,,
154,SK0154,Tshirt Mi Celebrations M,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0154,,01 AGU 2022,,,40,30,2,,,
155,SK0155,Tshirt Mi Celebrations L,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0155,,01 AGU 2022,,,40,30,2,,,
156,SK0156,Tshirt Mi Celebrations XL,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0156,,01 AGU 2022,,,40,30,2,,,
157,SK0157,Tshirt Mi Celebrations XXL,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0157,,01 AGU 2022,,,40,30,2,,,
